LA,ESTAB,URN,PERCTOT,PPERSABS10
209,2000,100671,5.3,17.3
209,2001,139672,2.6,2.2
209,2002,142456,3.3,5.6
209,2023,100672,5.8,19
209,2029,100673,4.3,11.9
209,2068,100674,5,14.7
209,2108,100675,4.5,10.2
209,2127,100676,3.8,9.5
209,2148,100677,3.5,10.6
209,2158,100678,3.7,7.7
209,2163,100679,4.1,10.8
209,2187,100680,4.2,8.7
209,2197,100681,5.9,19.3
209,2225,100683,4.4,13.6
209,2259,100684,3.5,5.5
209,2267,100685,3.9,9.6
209,2289,100686,3.4,6.9
209,2304,100687,3.4,5.5
209,2307,100688,4.5,12.3
209,2342,100689,3.7,6.5
209,2347,100690,4.6,12.6
209,2349,100691,5.9,21.1
209,2374,100692,4,9.4
209,2381,100693,3.6,7.7
209,2390,100695,4.8,13.5
209,2403,100696,3.9,9.8
209,2491,100699,4.6,12.8
209,2493,100700,3.6,9.8
209,2529,100701,3.7,7.9
209,2535,100702,3.8,7.8
209,2536,100703,4.6,10.6
209,2570,100704,3.3,5.7
209,2571,100705,3.5,5.5
209,2599,137441,3.6,8.3
209,2605,100707,3.1,5.2
209,2606,100708,3.6,4.9
209,2782,100709,3.1,5.8
209,2811,100710,2.9,4.9
209,2815,100711,2.9,2.6
209,2818,100712,3.8,6.7
209,2869,100713,4.4,10.5
209,2870,100714,3.5,6
209,2871,100715,4.5,10
209,2878,100716,4.1,7.2
209,2887,100717,3,6.3
209,2911,100718,4,10.2
209,3301,100719,3.9,7.9
209,3315,100720,3.2,8.2
209,3325,100721,4.3,10.2
209,3344,100722,3.5,4.3
209,3360,100723,5.3,16
209,3374,100724,3.4,4.9
209,3416,100725,2.1,1.7
209,3420,100726,3.6,7.4
209,3454,100727,3.5,8.2
209,3472,100728,2.6,4.4
209,3478,100729,2.5,4.7
209,3518,100730,3.8,11.6
209,3548,100731,2.7,4.6
209,3588,100732,3.8,7.7
209,3594,100733,3.3,7.7
209,3597,100734,3.4,7.9
209,3650,100737,2.8,3.9
209,3661,100739,3.2,6.5
209,4047,100740,5.3,14.2
209,4204,100741,4.2,9.4
209,4249,100742,5.3,12.4
209,4267,100743,7.2,20.6
209,4289,100745,6.5,18
209,4323,100747,6.2,17.8
209,4600,100748,6,14.8
209,4636,100749,5.5,13.6
209,4646,100750,5.4,13.1
209,4802,100752,2.7,3.4
209,5200,100753,4.6,17.8
209,5201,135843,5.5,12.3
209,6905,135073,4,8
209,6906,135070,4.5,8.4
209,6907,135264,5.1,12.9
209,7038,100760,6.1,21.2
209,7141,100763,15.4,52.6
209,7180,100765,10,30.7
209,7182,100766,10.8,31
209,7183,136423,6.2,20.3
